# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  2 09:54:08 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN ctoi_alias:     TESS Input Catalog of Interest Alias
# COLUMN pl_pnum:        Pipeline Signal ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
546,1458.01,1458,191284318,191284318.01,1,KP,00h38m17.53s,9.5730340,+42d27m47.15s,42.4630960,-21.5640000,-4.5880000,2460610.0636220,2.7759678,3.0740000,13613.0000000,15.4018000,1597.5900000,1761.0000000,10.3740000,226.6370000,6140.0000000,4.3200000,1.2400000,2019-12-05 16:42:06,2025-05-02 16:23:22
547,1459.01,1459,16920150,16920150.01,1,FA,01h17m26.83s,19.3617730,+26d44m45.42s,26.7459510,55.6360000,-51.9740000,2458765.5459810,9.1559340,3.1412022,908.2412562,2.4949092,66.1504006,727.3657867,10.1583000,101.3580000,5219.0000000,4.5571800,0.8220400,2019-12-05 16:42:06,2023-07-05 12:02:59
548,146.01,146,355636844,355636844.01,1,FP,23h53m12.49s,358.3020340,-56d00m47.71s,-56.0132520,65.3920000,-27.1770000,2459080.9032500,6.3055600,2.9460000,860.0000000,,,,10.7124000,739.6320000,,,,2018-09-05 18:35:00,2022-10-17 16:02:02
549,1460.01,1460,17005768,17005768.01,1,FP,01h22m26.55s,20.6106390,+26d55m32.62s,26.9257290,14.4000000,-4.7000000,2458765.2651160,6.8424983,3.3079378,8029.8803050,16.4578474,215.5002138,977.1959895,9.9176000,150.1020000,5766.0000000,4.4380000,1.1282001,2019-12-05 16:42:06,2024-11-18 12:03:12
550,1461.01,1461,44631965,44631965.01,1,APC,01h28m56.73s,22.2363940,+35d51m53.47s,35.8648540,31.7440000,9.3270000,2458767.3170520,3.5686777,2.5811179,20121.1854664,20.2503751,876.9639130,1387.9223847,11.3805000,359.9590000,6046.0000000,4.2692900,1.2852900,2019-12-05 16:42:06,2021-10-29 12:59:15
551,1462.01,1462,188768068,188768068.01,1,CP,17h25m23.9s,261.3495850,+52d47m25.7s,52.7904720,-91.0470000,-49.6390000,2460338.5230710,2.1779407,2.0980000,110.0000000,1.2822800,759.1830000,1462.0000000,5.8961000,27.0498000,5801.8900000,4.2513200,1.2600000,2019-12-05 16:42:06,2024-04-02 10:08:02
552,1463.01,1463,190998418,190998418.01,1,KP,00h28m12.94s,7.0539370,+42d03m40.84s,42.0613450,0.9190000,-6.5090000,2459856.1442660,2.8791023,2.7497683,11426.6170088,12.0920506,693.2320081,1308.6978872,12.0401000,367.6580000,5583.0000000,4.3394600,1.1145999,2019-12-05 16:42:06,2023-01-31 14:54:33
553,1464.01,1464,229944666,229944666.01,1,PC,19h13m32.39s,288.3849690,+62d12m11.25s,62.2031240,14.2580000,13.0520000,2459643.7244170,11.3125266,2.5943007,861.7265878,2.6864470,56.1140618,698.0518398,10.8597000,151.6540000,5290.0000000,4.5328600,0.8548410,2019-12-05 16:42:06,2023-08-02 16:02:01
554,1465.01,1465,236887394,236887394.01,1,KP,20h13m31.65s,303.3818700,+65d09m44.39s,65.1623310,12.6360000,58.1700000,2459717.4230960,1.4200248,1.4310000,23730.0000000,12.5242000,382.3280000,1231.0000000,11.8478000,185.6150000,4910.0000000,4.5724800,0.7700000,2019-12-05 16:42:06,2023-03-15 16:02:02
555,1466.01,1466,237086564,237086564.01,1,PC,20h29m35.17s,307.3965320,+61d33m02.61s,61.5507250,71.5230000,67.9700000,2459823.8772490,1.8718991,1.4750000,920.0000000,2.4073300,167.0990000,1001.0000000,11.0278000,86.5783000,4201.0000000,4.5079000,0.7500000,2019-12-05 16:42:06,2022-12-07 16:02:01
556,1467.01,1467,240968774,240968774.01,1,CP,01h16m27.51s,19.1146440,+49d13m59.3s,49.2331380,108.3940000,-149.0590000,2458766.9891180,5.9711357,1.5478671,1437.1086027,1.8721145,18.0882455,525.9795517,10.5977000,37.4418000,3834.0000000,4.7455200,0.4907370,2019-12-05 16:42:06,2025-04-20 12:03:53
557,1468.01,1468,243185500,243185500.01,1,CP,01h06m36.93s,16.6538720,+19d13m29.71s,19.2249190,-41.4650000,-222.6970000,2459450.3560250,15.5324385,1.7640717,2937.4953214,2.0135760,2.1399188,308.4743596,10.8858000,24.7399000,3382.0000000,4.8553200,0.3693060,2019-12-05 16:42:06,2023-03-03 12:03:04
558,1468.02,1468,243185500,243185500.02,2,CP,01h06m36.93s,16.6538720,+19d13m29.71s,19.2249190,-41.4650000,-222.6970000,2459448.3081560,1.8805310,1.1911684,1214.0066593,1.4548629,35.7280633,623.5511988,10.8858000,24.7399000,3382.0000000,4.8553200,0.3693060,2019-12-05 16:42:06,2023-03-03 12:03:04
559,1469.01,1469,283722336,283722336.01,1,KP,23h13m20.93s,348.3372030,+57d10m10.65s,57.1696260,2074.5200000,294.9360000,2460606.2519610,3.0929386,0.8776502,254.2319025,1.2815317,192.9304989,950.5390679,4.6278000,6.5312700,4884.2900000,4.5903400,0.7505980,2019-12-05 16:42:06,2025-05-02 16:23:22
560,1469.02,1469,283722336,283722336.02,2,KP,23h13m20.93s,348.3372030,+57d10m10.65s,57.1696260,2074.5200000,294.9360000,2460599.4972520,6.7650398,1.4210000,269.0000000,1.3921500,64.6487000,789.0000000,4.6278000,6.5312700,4884.2900000,4.5903400,0.7500000,2019-12-05 16:42:06,2025-05-02 16:23:22
561,147.01,147,220435095,220435095.01,1,FP,04h54m33.95s,73.6414740,-57d30m48.43s,-57.5134530,5.0010000,22.2360000,2460185.3655600,3.4231002,2.4377583,8643.1016455,35.4084057,3086.1129325,1900.9587948,11.8999000,820.0790000,5620.9000000,3.6000000,2.6126101,2018-09-05 18:35:00,2023-11-27 10:08:02
562,1470.01,1470,284441182,284441182.01,1,CP,00h40m21.39s,10.0891430,+61d12m48.19s,61.2133870,48.5760000,-55.6020000,2459883.4436140,2.5272822,1.2658610,1847.4872236,2.2007181,45.3608214,661.8963360,11.4752000,51.9503000,3624.0000000,4.7460700,0.4901200,2019-12-05 16:42:06,2023-06-16 12:02:57
563,1471.01,1471,306263608,306263608.01,1,CP,02h03m37.2s,30.9050060,+21d16m52.78s,21.2813270,158.8240000,107.6750000,2460221.5034390,20.7724316,5.5080000,1415.0000000,3.9157600,209.7220000,1060.0000000,8.5725000,67.5478000,5625.5600000,4.4679800,0.9700000,2019-12-05 16:42:06,2023-12-06 16:02:01
564,1471.02,1471,306263608,306263608.02,2,CP,02h03m37.2s,30.9050060,+21d16m52.78s,21.2813270,158.8240000,107.6750000,2459462.5167200,52.5637056,6.5000000,1193.0000000,3.2837200,14.3711000,542.0000000,8.5725000,67.5478000,5625.5600000,4.4679800,0.9700000,2022-03-24 21:52:14,2023-12-06 16:02:01
565,1472.01,1472,306955329,306955329.01,1,CP,00h56m27.42s,14.1142610,+48d38m15.06s,48.6375170,103.3720000,-13.4290000,2459885.5687840,6.3634106,2.6923020,2368.6952027,4.4784698,110.0200699,826.0146095,10.5508000,121.8400000,5103.0000000,4.5025700,0.8594830,2019-12-05 16:42:06,2025-04-20 12:03:53
566,1473.01,1473,352413427,352413427.01,1,CP,01h02m23.55s,15.5981440,+37d11m07.58s,37.1854390,-9.8760000,-10.1300000,2460608.8523450,5.2544884,2.8980000,567.0000000,2.1916000,284.9410000,1144.0000000,8.2970000,67.6203000,5958.0000000,4.4821700,0.9900000,2019-12-05 16:42:06,2025-05-02 16:23:22
567,1474.01,1474,427654774,427654774.01,1,FP,23h17m09.38s,349.2890720,+70d11m26.07s,70.1905760,136.4490000,129.0940000,2458765.0424740,5.2226210,4.6936290,15867.9920175,3.7216015,2.7908584,329.6508495,14.1431000,83.8106000,3453.0000000,4.9533700,0.2759460,2019-12-05 16:42:06,2021-10-29 12:59:15
568,1475.01,1475,431514478,431514478.01,1,PC,23h48m00.31s,357.0012750,+49d47m25.92s,49.7905330,13.9870000,-0.4140000,2458767.6182960,8.4953513,0.9060555,718.4869448,5.2961699,2555.3062468,1813.3452070,8.7799400,294.2370000,10012.0000000,4.2987600,1.8801600,2019-12-05 16:42:06,2023-05-30 12:02:54
569,1476.01,1476,432549364,432549364.01,1,KP,00h01m26.9s,0.3620990,+39d23m01.66s,39.3837950,-9.7710000,-7.6790000,2460610.0369410,1.2174936,2.5700000,6969.0000000,12.9438000,5165.9200000,2361.0000000,10.2242000,268.4300000,6596.0400000,4.2467000,1.4600000,2019-12-05 16:42:06,2025-05-02 16:23:22
570,1477.01,1477,240681314,240681314.01,1,KP,00h37m50.1s,9.4587440,+51d17m19.6s,51.2887780,-6.8830000,2.6890000,2459855.9319780,2.7324809,2.2139341,9548.2806012,18.2785375,2531.1335542,1809.0414376,10.6496000,370.2840000,6695.0000000,4.1749400,1.6127100,2019-12-05 19:37:03,2023-01-31 14:54:33
571,1478.01,1478,409794137,409794137.01,1,CP,08h25m44.1s,126.4337430,-13d33m34.37s,-13.5595480,-8.2770000,67.9430000,2459982.2363470,10.1802014,4.6130000,11500.0000000,12.3422000,261.0130000,1119.0000000,10.2042000,152.8920000,5623.0000000,4.4000000,1.0400000,2019-12-05 19:41:20,2023-03-27 10:10:16
572,1479.01,1479,421308357,421308357.01,1,FP,19h15m16.34s,288.8180980,+57d45m38.05s,57.7605690,-2.1240000,2.5930000,2460319.9400690,16.6828999,1.8040000,2054.0000000,17.1854000,15.2595000,550.0000000,10.3640000,531.9600000,6423.0000000,3.7400000,2.6300000,2019-12-05 21:41:08,2024-03-04 10:08:01
573,148.01,148,393940766,393940766.01,1,CP,22h33m16.99s,338.3208030,-38d09m35.38s,-38.1598280,22.3480000,-25.8390000,2458327.3293700,4.8670900,3.1030000,4210.0000000,7.4291500,435.1520000,1272.0000000,11.7835000,395.2570000,5814.3000000,4.3400000,1.1500000,2018-09-05 18:52:24,2022-10-17 16:02:02
574,1480.01,1480,335483600,335483600.01,1,FP,22h10m27.27s,332.6136390,+63d33m01.98s,63.5505500,-0.1810000,-2.6830000,2459855.7113670,3.3540530,1.8984151,6389.1712796,,11694.6627862,2652.2635415,8.7514000,893.0930000,8181.0000000,,,2019-12-05 21:41:09,2023-08-02 16:02:01
575,1481.01,1481,197650870,197650870.01,1,FP,22h26m49.22s,336.7050710,+52d13m40.23s,52.2278420,2.9240000,-3.4360000,2460422.8455790,2.1853174,1.6560000,1168.0000000,14.8742000,2412.1100000,1952.0000000,10.3209000,1026.1200000,8332.0000000,3.5400000,4.0200000,2019-12-05 21:41:09,2024-07-25 10:08:02
576,1482.01,1482,252616865,252616865.01,1,PC,23h03m58.77s,345.9948810,+52d33m45.7s,52.5626950,31.6290000,10.9240000,2459872.2984440,5.7121916,4.7750000,7555.0000000,15.4584000,1009.6600000,1570.0000000,10.0687000,318.2770000,6720.0000000,4.0900000,1.7900000,2019-12-05 21:41:09,2024-11-15 16:02:02
577,1483.01,1483,452803785,452803785.01,1,FP,22h33m44.41s,338.4350390,+52d38m10.81s,52.6363370,20.2180000,0.4390000,2459844.5528580,5.0037857,4.1540000,1950.0000000,6.7733800,2812.5300000,2028.0000000,10.4935000,209.6900000,6109.0000000,4.4200000,1.0900000,2019-12-05 21:41:09,2022-11-07 16:02:02
578,1484.01,1484,67309890,67309890.01,1,FP,22h52m37.49s,343.1562040,+48d33m00.04s,48.5500100,-26.2980000,-17.3760000,2460422.6164270,1.1623941,1.2660000,1099.0000000,8.2166900,1464.1600000,1723.0000000,10.2108000,368.1340000,5843.7000000,3.8200000,2.2300000,2019-12-05 21:41:09,2024-07-16 10:08:01
579,1485.01,1485,377191482,377191482.01,1,FA,19h03m44.91s,285.9371050,+59d09m50.67s,59.1640740,2.0040000,4.5380000,2459673.2068520,2.9551881,1.3610000,230.0000000,5.6020100,158.8660000,989.0000000,8.8052000,386.2660000,5054.0000000,,6.1700000,2019-12-05 21:41:09,2022-08-18 12:02:41
580,1486.01,1486,233541860,233541860.01,1,FP,18h44m47.49s,281.1978770,+62d41m08.32s,62.6856440,-33.8160000,56.6520000,2459635.5366460,0.2666485,1.0750000,230.0000000,1.3046800,3064.1200000,2072.0000000,9.9592000,44.3531000,4154.0000000,4.5300000,0.7100000,2019-12-05 21:41:09,2024-09-27 10:08:02
581,1487.01,1487,459978312,459978312.01,1,FA,17h02m15.7s,255.5654080,+64d36m03.21s,64.6008930,-20.7160000,35.4100000,2458684.8873900,23.2879800,3.4620000,120.0000000,14.6492000,11.0443000,507.0000000,5.2890600,110.9230000,5047.0000000,,8.9500000,2019-12-05 21:41:09,2024-09-18 10:08:02
582,1488.01,1488,198457103,198457103.01,1,FA,17h27m41.05s,261.9210330,+57d30m38.01s,57.5105570,-12.7870000,13.7630000,2458683.4428320,0.4721054,1.6995515,45.2185132,1.3988866,47943.4214221,3774.0009529,8.0702300,160.8320000,7269.0000000,4.0800000,1.9375200,2019-12-05 21:41:09,2023-05-02 16:02:02
583,1489.01,1489,219751469,219751469.01,1,FA,17h24m47.96s,261.1998480,+61d25m24.68s,61.4235210,-8.9140000,22.4110000,2458690.0492100,6.9830100,3.4720000,270.0000000,13.6402000,148.8180000,973.0000000,8.2285000,411.5320000,5118.0000000,,8.4000000,2019-12-05 21:41:09,2023-02-07 12:02:47
584,149.01,149,260985861,260985861.01,1,PC,05h06m32.44s,76.6351760,-80d46m04.83s,-80.7680090,-7.9100000,22.7070000,2458597.9398630,3.3399432,4.2534704,9074.0787832,,522.4427099,1219.3519117,10.8727000,380.8100000,5095.6000000,,,2018-09-05 18:35:00,2024-02-23 10:08:02
585,1490.01,1490,283474780,283474780.01,1,APC,00h52m04.24s,13.0176760,+36d23m34.85s,36.3930130,51.3640000,17.9500000,2458765.9143500,3.9943000,4.8760000,550.0000000,11.9767000,746.6660000,1456.0000000,8.3951100,247.1120000,4939.0000000,,5.1100000,2019-12-05 21:41:09,2023-06-18 12:02:58
586,1491.01,1491,53875855,53875855.01,1,PC,00h58m36.71s,14.6529470,+34d08m52.95s,34.1480420,36.6050000,-50.2230000,2459873.7742090,4.4902667,2.7580000,2513.0000000,5.5698500,322.8300000,1180.0000000,10.3996000,204.8810000,5899.0000000,4.2900000,1.2300000,2019-12-05 21:41:09,2023-12-11 12:02:53
587,1492.01,1492,354594208,354594208.01,1,FP,00h07m33.07s,1.8878050,+32d26m15.11s,32.4375300,-4.4880000,-56.0560000,2458765.2281300,0.8667300,1.0890000,662.9250000,3.5464700,1519.9600000,1739.0000000,9.7611900,163.0830000,5904.0000000,4.3100000,1.2500000,2019-12-05 21:41:09,2021-10-29 12:59:15
588,1493.01,1493,15692883,15692883.01,1,CP,01h09m53.94s,17.4747400,+25d40m53.94s,25.6816490,-24.1730000,-10.7020000,2460602.6323710,5.1479050,5.4050000,3710.0000000,18.0411000,1594.7600000,1760.0000000,9.7116000,371.4140000,6064.0000000,3.5700000,2.9000000,2019-12-05 21:41:09,2025-05-02 16:23:22
589,1494.01,1494,411608801,411608801.01,1,CP,01h15m58.87s,18.9953120,+21d37m00.86s,21.6169060,21.6720000,-9.2210000,2459856.4165470,5.0267996,2.7540440,6358.0060702,12.9814741,853.1354811,1378.3967823,10.3002000,278.5140000,6434.0000000,4.2100000,1.4782799,2019-12-05 21:41:09,2023-06-13 16:02:07
590,1495.01,1495,431148743,431148743.01,1,FP,22h19m55.51s,334.9813120,+53d39m44.99s,53.6624970,-6.4920000,-2.6220000,2459879.8084730,2.6277641,2.9970000,490.0000000,,1344.6000000,1687.0000000,8.7061010,1610.7900000,3294.0000000,,,2019-12-05 21:41:09,2022-12-07 10:10:02
591,1496.01,1496,384045439,384045439.01,1,FP,21h49m06.23s,327.2759420,+53d17m37.56s,53.2937680,174.7080000,10.0080000,2458743.8706600,10.8266100,6.8770000,5890.0000000,11.5303000,760.6670000,1463.0000000,10.0478000,78.3164000,5113.0000000,4.7100000,0.6800000,2019-12-05 21:41:09,2021-10-29 12:59:15
592,1497.01,1497,371673488,371673488.01,1,FP,22h52m55.97s,343.2332170,+59d51m03.42s,59.8509510,4.3260000,-2.1680000,2460422.2058210,0.8165295,2.2940000,468.0000000,4.1243500,136662.0000000,5356.0000000,9.9571700,405.1740000,8911.0000000,4.2600000,1.8500000,2019-12-05 21:41:09,2024-07-25 10:08:02
593,1498.01,1498,316402246,316402246.01,1,FP,21h27m53.64s,321.9734800,+54d31m11.34s,54.5198180,12.3230000,16.8710000,2459836.9241480,1.4014167,3.6610000,2730.0000000,11.8932000,81940.9000000,4713.0000000,9.6788000,265.4020000,8014.0000000,4.3200000,1.6000000,2019-12-05 21:41:09,2022-12-12 16:02:01
594,1499.01,1499,414870287,414870287.01,1,FP,22h27m29.44s,336.8726710,+59d26m01.64s,59.4337900,-3.1860000,-2.4190000,2458740.8589000,4.9589800,1.8310000,230.2320000,,12.9920000,528.0000000,7.8165000,2509.8600000,3295.0000000,,,2019-12-05 21:41:09,2021-10-29 12:59:15
595,150.01,150,271893367,271893367.01,1,CP,07h31m51.7s,112.9654210,-73d36m21.73s,-73.6060360,-15.2150000,27.1440000,2459995.6456280,5.8574075,5.8548029,6489.7302346,13.8892762,750.9220273,1335.1143401,10.9031000,336.2670000,5982.9000000,4.0300000,1.6798700,2018-09-05 18:34:59,2023-10-05 14:31:09
596,1500.01,1500,377420580,377420580.01,1,FP,22h47m51.54s,341.9647580,+60d10m25.09s,60.1736350,82.1400000,29.7600000,2460422.2569830,1.4147363,2.4290000,990.0000000,,1283.1100000,1667.0000000,10.1871000,89.1560000,4980.0000000,,,2019-12-05 21:41:09,2024-06-13 10:08:01
597,1501.01,1501,329145325,329145325.01,1,FP,22h10m51.02s,332.7125720,+59d39m01.99s,59.6505540,-14.0440000,-9.2290000,2459882.0248750,1.0777740,2.6820000,2680.0000000,10.1773000,61535.5000000,4387.0000000,10.4089000,351.0790000,7274.0000000,4.2500000,1.5800000,2019-12-05 21:41:09,2022-12-12 16:02:01
598,1502.01,1502,410528770,410528770.01,1,FP,21h52m51.82s,328.2158970,+60d34m08.96s,60.5691560,18.0670000,11.9150000,2459847.7807590,2.7536237,2.3900000,1460.0000000,11.1685000,529.9000000,2565.0000000,10.4824000,387.9820000,5647.0000000,3.6800000,2.4100000,2019-12-05 21:41:09,2022-11-07 16:02:02
599,1503.01,1503,428065977,428065977.01,1,FP,22h36m28.89s,339.1203720,+52d06m56.57s,52.1157140,11.4730000,-10.3650000,2459881.6527610,1.6534102,3.1020000,600.0000000,6.0770400,58331.7000000,4329.0000000,10.2347000,289.1160000,6928.0000000,4.2900000,1.4600000,2019-12-05 21:41:09,2022-12-12 16:02:01
600,1504.01,1504,326114850,326114850.01,1,FP,22h06m16.78s,331.5699080,+52d42m06.9s,52.7019170,39.9100000,-4.5870000,2460406.0483110,1.2456423,1.3540000,691.0000000,3.8059800,1370.4700000,1695.0000000,9.9864500,231.2730000,6194.0000000,4.1600000,1.5000000,2019-12-05 21:41:09,2024-05-08 10:08:01
601,1505.01,1505,331034236,331034236.01,1,FP,21h44m21.96s,326.0915060,+58d33m05.64s,58.5515670,-34.8220000,-26.7760000,2459826.9079850,3.4272549,5.9083927,569.4677099,7.7503736,2690.6140029,1836.8876704,9.2711600,236.7340000,6338.0000000,3.9000000,2.0707099,2019-12-05 21:41:09,2023-05-19 16:02:01
602,1506.01,1506,64836837,64836837.01,1,FP,22h35m11.17s,338.7965290,+55d01m51.69s,55.0310260,-6.3320000,-5.3680000,2460423.0709640,10.9115374,3.2690000,1039.0000000,18.4382000,17372.4000000,3198.0000000,9.8115000,705.8510000,9195.0000000,3.7500000,3.3700000,2019-12-05 21:41:09,2024-07-25 10:08:02
603,1507.01,1507,430677414,430677414.01,1,FP,22h14m40.73s,333.6697050,+53d14m22.41s,53.2395570,-9.9140000,-13.2630000,2458738.9304800,0.4674100,1.2500000,1592.1200000,7.7780400,137211.0000000,5361.0000000,8.4171800,195.5420000,7960.5000000,4.2300000,1.7700000,2019-12-05 21:41:09,2021-10-29 12:59:15
604,1508.01,1508,415741431,415741431.01,1,FP,22h36m34.64s,339.1443500,+58d16m33.82s,58.2760610,-5.4690000,-2.7520000,2459878.8668660,2.1575124,2.2360000,550.0000000,11.8527000,4213.1200000,2244.0000000,10.4710000,852.2330000,8326.0000000,3.5800000,3.8700000,2019-12-05 21:41:09,2023-05-24 12:02:59
605,1509.01,1509,272828463,272828463.01,1,FP,23h46m21.32s,356.5888340,+60d29m13.29s,60.4870250,8.8640000,-2.6640000,2460423.1009490,1.5776090,1.6460000,1055.0000000,9.7392400,2982.6400000,2058.0000000,9.4221800,431.1400000,7856.0000000,3.7800000,2.9100000,2019-12-05 21:41:09,2024-07-26 10:08:01
606,151.01,151,382302241,382302241.01,1,FP,05h33m23.79s,83.3491210,-58d44m42.33s,-58.7450930,28.9920000,25.4030000,2458326.0501300,1.5978200,1.4900000,1713.6900000,3.5999500,955.6760000,1548.0000000,11.0264000,137.5040000,5037.6000000,4.7200000,0.7900000,2018-09-05 18:34:59,2021-12-07 16:02:02
607,1510.01,1510,377739433,377739433.01,1,FP,23h14m17.81s,348.5741880,+65d57m28.7s,65.9579720,34.1830000,6.0270000,2458764.8252200,1.2385200,3.1380000,440.0000000,7.1171200,9304.0600000,2736.0000000,10.1975000,500.5430000,6524.0000000,3.5000000,3.4000000,2019-12-05 21:41:09,2021-10-29 12:59:15
608,1511.01,1511,376682699,376682699.01,1,FP,22h41m24.54s,340.3522590,+69d04m28.01s,69.0744470,4.3810000,-0.3150000,2460422.2491620,1.1025238,2.3210000,2919.0000000,15.8737000,132458.0000000,5314.0000000,10.3810000,544.2330000,9218.0000000,4.2100000,2.0000000,2019-12-05 21:41:10,2024-06-13 10:08:01
609,1512.01,1512,434718964,434718964.01,1,FP,23h01m57.14s,345.4880660,+64d04m02.41s,64.0673370,,,2459854.9312680,1.5972260,5.3721722,3834.1260621,,1397.0143195,1559.2651198,10.2620000,,,,,2019-12-05 21:41:10,2023-05-19 16:02:01
610,1513.01,1513,269509393,269509393.01,1,FP,23h21m29.71s,350.3737960,+60d10m32.29s,60.1756370,49.0530000,11.5220000,2458764.8441700,1.7658900,3.8070000,730.0000000,4.0659700,6579.9700000,2509.0000000,10.2866000,275.9060000,6221.0000000,4.1300000,1.5500000,2019-12-05 21:41:10,2021-10-29 12:59:15
611,1514.01,1514,270238522,270238522.01,1,FP,23h26m35.62s,351.6484170,+64d18m16.92s,64.3046990,-4.3610000,-5.1850000,2458765.4763600,1.3699100,4.1560000,1170.0000000,11.8886000,18625.3000000,3254.0000000,7.5586000,242.0060000,7339.8000000,3.5600000,3.6400000,2019-12-05 21:41:10,2021-10-29 12:59:15
612,1515.01,1515,470709084,470709084.01,1,FP,23h49m28.34s,357.3680970,+61d40m58.15s,61.6828190,-0.9290000,13.5300000,2458768.5685800,3.6650500,2.3460000,910.0000000,7.1901600,555.0830000,1352.0000000,10.4433000,337.2880000,6370.0000000,3.8100000,2.3200000,2019-12-05 21:41:10,2024-07-16 10:08:01
613,1516.01,1516,376637093,376637093.01,1,CP,22h40m20.31s,340.0846200,+69d30m13.43s,69.5037310,16.2230000,-1.3250000,2460449.2013880,2.0560153,2.7730000,17453.0000000,17.2767000,1899.8300000,1839.0000000,10.3770000,247.0540000,6485.0000000,4.3700000,1.2400000,2019-12-05 21:41:10,2024-08-24 10:08:02
614,1517.01,1517,455962313,455962313.01,1,FP,22h40m08.78s,340.0365930,+65d26m23.02s,65.4397280,-0.9000000,-8.2000000,2460418.9942820,2.2550500,3.0340000,658.0000000,,,,9.5990000,184.7620000,,,,2019-12-05 21:41:10,2024-06-13 10:08:01
615,1518.01,1518,427761355,427761355.01,1,CP,23h29m04.21s,352.2675210,+67d02m05.3s,67.0348060,-7.4440000,-4.8840000,2459854.4145800,1.9026060,2.3653693,8984.9897271,19.5765040,17123.0054990,2917.5260913,8.7512700,225.8880000,9918.0000000,4.3200000,1.8224100,2019-12-05 21:41:10,2023-06-13 16:02:07
616,1519.01,1519,272049972,272049972.01,1,FP,23h41m40s,355.4166640,+62d55m17.35s,62.9214850,1.9000000,-7.2000000,2458981.2420840,1.0960111,3.1670000,2150.0000000,9.0571400,14474.6000000,,10.1914000,294.8510000,6083.0000000,,1.5800000,2019-12-05 21:41:10,2022-12-12 16:02:01
617,152.01,152,403287048,403287048.01,1,FP,22h09m25.8s,332.3574820,-62d20m04.03s,-62.3344530,-34.7160000,-109.5260000,2458327.9233700,7.0077600,2.6800000,3666.9900000,8.1288000,302.5110000,1161.0000000,11.3569000,376.8490000,6347.0000000,4.2300000,1.2200000,2018-09-05 18:52:24,2021-12-07 16:02:02
618,1520.01,1520,269238073,269238073.01,1,FP,23h20m55.86s,350.2327310,+62d09m40.24s,62.1611790,27.6660000,8.2500000,2459878.5124290,6.1461734,5.3860000,1034.0000000,6.9623600,8177.5200000,2649.0000000,9.6880500,196.5500000,6153.0000000,4.1500000,1.5000000,2019-12-05 21:41:10,2025-08-12 12:03:45
619,1521.01,1521,366074069,366074069.01,1,FP,23h47m04.94s,356.7705790,+69d02m58.28s,69.0495220,-6.5100000,-11.2430000,2459905.3977120,4.1812866,4.3940000,4280.0000000,15.4480000,1049.2800000,1585.0000000,9.7887600,317.7520000,6146.0000000,3.7800000,2.3100000,2019-12-05 21:41:10,2024-08-06 10:08:01
620,1522.01,1522,367102581,367102581.01,1,FP,20h57m04.57s,314.2690360,+78d40m29.7s,78.6749170,15.3770000,22.6680000,2459739.7985910,2.9798592,2.7370000,580.0000000,4.9222700,8878.8100000,2704.0000000,9.3957500,303.9760000,9024.0000000,4.2400000,1.8900000,2019-12-05 21:41:10,2022-09-28 16:02:02
621,1523.01,1523,387413037,387413037.01,1,FP,20h44m56.77s,311.2365350,+69d09m06.51s,69.1518070,-8.4770000,-15.7880000,2458738.9502800,6.7269400,2.6490000,1070.0000000,5.1927300,264.8100000,1123.0000000,10.3197000,305.7580000,6745.0000000,4.2300000,1.5300000,2019-12-05 21:41:10,2021-10-29 12:59:15
622,1524.01,1524,314338017,314338017.01,1,FP,21h16m34.79s,319.1449780,+58d46m22.11s,58.7728090,-2.0030000,-4.8120000,2459837.0250750,10.9554897,6.7720000,370.0000000,22.7316000,20081.6000000,3316.0000000,9.1325000,792.7900000,8522.0000000,,6.7900000,2019-12-05 21:41:10,2022-11-07 16:02:02
